spo_id,lat,long,pollutant,station,network,zone
SPO-FR01001_38,49.535004,5.804447,38,STA-FR01001,NET-FR075A,ZON-FR44ZRE01
SPO-FR01001_8,49.535004,5.804447,8,STA-FR01001,NET-FR075A,ZON-FR44ZRE01
SPO-FR01001_7,49.535004,5.804447,7,STA-FR01001,NET-FR075A,ZON-FR44ZRE01
SPO-FR01001_5,49.535004,5.804447,5,STA-FR01001,NET-FR075A,ZON-FR44ZRE01
SPO-FR01005_10,49.324722,6.076108,10,STA-FR01005,NET-FR075A,ZON-FR01A01
SPO-FR01005_38,49.324722,6.076108,38,STA-FR01005,NET-FR075A,ZON-FR01A01
SPO-FR01005_8,49.324722,6.076108,8,STA-FR01005,NET-FR075A,ZON-FR01A01
SPO-FR01005_5,49.324722,6.076108,5,STA-FR01005,NET-FR075A,ZON-FR44ZAG02
SPO-FR01005_1,49.324722,6.076108,1,STA-FR01005,NET-FR075A,ZON-FR01A01
SPO-FR01006_38,49.32083,6.14,38,STA-FR01006,NET-FR075A,ZON-FR01A01
SPO-FR01006_8,49.32083,6.14,8,STA-FR01006,NET-FR075A,ZON-FR01A01
SPO-FR01006_5,49.32083,6.14,5,STA-FR01006,NET-FR075A,ZON-FR01A01
SPO-FR01006_1,49.32083,6.14,1,STA-FR01006,NET-FR075A,ZON-FR01A01
SPO-FR01009_5,49.271393,6.1325,5,STA-FR01009,NET-FR075A,ZON-FR44ZAG02
SPO-FR01009_1,49.271393,6.1325,1,STA-FR01009,NET-FR075A,ZON-FR44ZAG02
SPO-FR01011_5018,49.119442,6.180833,5018,STA-FR01011,NET-FR075A,ZON-FR44ZAG02
SPO-FR01011_5014,49.119442,6.180833,5014,STA-FR01011,NET-FR075A,ZON-FR44ZAG02
SPO-FR01011_38,49.119442,6.180833,38,STA-FR01011,NET-FR075A,ZON-FR44ZAG02
SPO-FR01011_8,49.119442,6.180833,8,STA-FR01011,NET-FR075A,ZON-FR44ZAG02
SPO-FR01011_5015,49.119442,6.180833,5015,STA-FR01011,NET-FR075A,ZON-FR44ZAG02
SPO-FR01011_7,49.119442,6.180833,7,STA-FR01011,NET-FR075A,ZON-FR44ZAG02
SPO-FR01011_5,49.119442,6.180833,5,STA-FR01011,NET-FR075A,ZON-FR44ZAG02
SPO-FR01011_6001,49.119442,6.180833,6001,STA-FR01011,NET-FR075A,ZON-FR44ZAG02
SPO-FR01011_5012,49.119442,6.180833,5012,STA-FR01011,NET-FR075A,ZON-FR44ZAG02
SPO-FR01012_38,49.110283,6.223336,38,STA-FR01012,NET-FR075A,ZON-FR44ZAG02
SPO-FR01012_8,49.110283,6.223336,8,STA-FR01012,NET-FR075A,ZON-FR44ZAG02
SPO-FR01012_5,49.110283,6.223336,5,STA-FR01012,NET-FR075A,ZON-FR44ZAG02
SPO-FR01012_1,49.110283,6.223336,1,STA-FR01012,NET-FR075A,ZON-FR44ZAG02
SPO-FR01014_38,48.915,6.058336,38,STA-FR01014,NET-FR075A,ZON-FR01N20
SPO-FR01014_8,48.915,6.058336,8,STA-FR01014,NET-FR075A,ZON-FR01N20
SPO-FR01014_5,48.915,6.058336,5,STA-FR01014,NET-FR075A,ZON-FR44ZRE01
SPO-FR01014_1,48.915,6.058336,1,STA-FR01014,NET-FR075A,ZON-FR01N20
SPO-FR01015_5,48.884724,6.051392,5,STA-FR01015,NET-FR075A,ZON-FR44ZRE01
