Year;Country;Growth rate per annum 2021;Growth rate per annum 2011-21;Share 2021;Value (Million Tonnes)
1981;US;0.08256960177475148;0.06193897925578562;0.06416650285838102;747.3160762424999
1981;Czech Republic;0.001548048060778573;0.059356025660057155;0.0038540575854745032;117.71999999999998
1981;Turkey;0.14932150581452786;0.012033995537216624;0.010478024230798112;21.006
1981;Australia;0.02116683601316338;0.012366836805291825;0.0585606985827059;128.519
1981;Mongolia;0.24775084449817752;0.00206923151097671;0.003954375575690253;4.3
1981;New Zealand;0.02014585239989719;0.05329918501445485;0.000350880265601473;2.1968940000000003
1981;Thailand;0.07622026137876214;0.03971184766106084;0.00174014904940639;1.6860439999999999
1982;Canada;0.03497038056334589;0.03601899549012544;0.0057191557897551745;42.907
1982;Germany;0.17639856126119247;0.039512168236050194;0.015417336761918336;499.7
1982;Russian Federation;0.08806013956441316;0.02541930424262473;0.05306385319494244;0.0
1982;Australia;0.02116683601316338;0.012366836805291825;0.0585606985827059;131.58100000000002
1982;China;0.060418390703862235;0.009213240799223366;0.50485659904504;666.3
1982;Japan;0.12363858493504876;0.061402152128787635;8.255775824320797e-05;17.61
1982;Vietnam;0.008293739303020575;0.002616751850863519;0.0058543246174405286;6.299999999999999
1983;Mexico;0.036751038659836865;0.09237433050601762;0.0009105802231721182;4.851129006908334
1983;Greece;0.12439241484026642;0.20775296576839075;0.0006992484502302842;30.590000000000003
1983;Spain;0.04082989480390786;0.34314250359906207;1.2113621741507261e-05;39.953
1983;China;0.060418390703862235;0.009213240799223366;0.50485659904504;714.5
1983;India;0.07130963858723316;0.037068965826993816;0.09926513454068905;142.9
1983;Indonesia;0.09214398182849903;0.05683054477326621;0.07512773448641624;0.65
1983;Japan;0.12363858493504876;0.061402152128787635;8.255775824320797e-05;17.06
1983;Mongolia;0.24775084449817752;0.00206923151097671;0.003954375575690253;4.974
1983;Thailand;0.07622026137876214;0.03971184766106084;0.00174014904940639;1.866083
1983;Other Asia Pacific;0.06921512985474632;0.04004659187085946;0.007014259931471302;51.911621039793346
1983;of which: OECD;0.06380991183012563;0.03714854139014789;0.18384267350441383;2062.6027922146077
1984;Canada;0.03497038056334589;0.03601899549012544;0.0057191557897551745;57.402
1984;Mexico;0.036751038659836865;0.09237433050601762;0.0009105802231721182;5.33524105286355
1984;Venezuela;0.4445800462101157;0.24473357140199192;1.9298342461462123e-05;0.05
1984;Bulgaria;0.2681000757605534;0.026079081685833394;0.0034883783048158933;32.36
1984;Poland;0.07187884398472422;0.02544615299471864;0.013170857044768721;241.97
1984;Romania;0.18525841020844336;0.06690142480279071;0.00217420974452583;47.799
1984;Serbia;0.07948120091690969;0.011164046136950989;0.004459716214643665;0.0
1984;Spain;0.04082989480390786;0.34314250359906207;1.2113621741507261e-05;39.59200000000001
1984;Zimbabwe;0.20035738172266493;0.023729341127490144;0.0003963497610064888;3.11
1984;Other Africa;0.28291411330910066;0.2188690523477641;0.001923898592540518;2.320985
1984;Australia;0.02116683601316338;0.012366836805291825;0.0585606985827059;141.555
1984;Japan;0.12363858493504876;0.061402152128787635;8.255775824320797e-05;16.65
1984;South Korea;0.11632946617016415;0.0807410599343773;0.00010987911438256083;21.37
1984;Vietnam;0.008293739303020575;0.002616751850863519;0.0058543246174405286;5.0
1984;European Union #;0.09720623180788435;0.05046664580128413;0.0416403865520049;1095.493024
1985;Colombia;0.14233017319863284;0.035784157778402936;0.007292645008018513;8.974
1985;Czech Republic;0.001548048060778573;0.059356025660057155;0.0038540575854745032;122.8
1985;Poland;0.07187884398472422;0.02544615299471864;0.013170857044768721;249.39
1985;United Kingdom;0.36848533243957005;0.24934977155217042;0.00012894522084479985;94.11100000000002
1985;China;0.060418390703862235;0.009213240799223366;0.50485659904504;872.3000000000002
1985;Indonesia;0.09214398182849903;0.05683054477326621;0.07512773448641624;2.0
1985;South Korea;0.11632946617016415;0.0807410599343773;0.00010987911438256083;22.543000000000003
1985;Other Asia Pacific;0.06921512985474632;0.04004659187085946;0.007014259931471302;55.3226629917616
1986;Canada;0.03497038056334589;0.03601899549012544;0.0057191557897551745;57.04800000000001
1986;Bulgaria;0.2681000757605534;0.026079081685833394;0.0034883783048158933;35.22
1986;United Kingdom;0.36848533243957005;0.24934977155217042;0.00012894522084479985;108.09900000000002
1986;Uzbekistan;0.15999029822839406;0.022036181161565693;0.0005850267502070153;6.0
1986;Australia;0.02116683601316338;0.012366836805291825;0.0585606985827059;180.326
1986;Pakistan;0.13944965230648898;0.08845664381861251;0.0009216141308791182;2.05
1986;Thailand;0.07622026137876214;0.03971184766106084;0.00174014904940639;5.538084
1986;Vietnam;0.008293739303020575;0.002616751850863519;0.0058543246174405286;6.1
1986;Other Asia Pacific;0.06921512985474632;0.04004659187085946;0.007014259931471302;54.795923985368205
1987;Romania;0.18525841020844336;0.06690142480279071;0.00217420974452583;55.69899999999999
1987;South Africa;0.0434509168517383;0.007471407394631702;0.02869273947487627;176.55
1987;Australia;0.02116683601316338;0.012366836805291825;0.0585606985827059;190.074
1987;Indonesia;0.09214398182849903;0.05683054477326621;0.07512773448641624;3.03
1987;South Korea;0.11632946617016415;0.0807410599343773;0.00010987911438256083;24.274
1987;Vietnam;0.008293739303020575;0.002616751850863519;0.0058543246174405286;6.299999999999999
1987;Other Asia Pacific;0.06921512985474632;0.04004659187085946;0.007014259931471302;53.56240400164323
1987;of which: OECD;0.06380991183012563;0.03714854139014789;0.18384267350441383;2360.659587005163
1988;Ukraine;0.022555655053976054;0.08884036755734281;0.0030495710010741105;172.15515093360992
1988;Kazakhstan;0.023045193099687333;0.0006507673971308803;0.014156284266664312;143.1
1988;South Korea;0.11632946617016415;0.0807410599343773;0.00010987911438256083;24.295
1988;Non-OECD;0.05900431417266949;0.014729935856491405;0.8161573264955859;2402.1495031198715
1989;Canada;0.03497038056334589;0.03601899549012544;0.0057191557897551745;70.527
1989;Bulgaria;0.2681000757605534;0.026079081685833394;0.0034883783048158933;34.3
1989;Poland;0.07187884398472422;0.02544615299471864;0.013170857044768721;249.45
1989;Romania;0.18525841020844336;0.06690142480279071;0.00217420974452583;66.462
1989;Spain;0.04082989480390786;0.34314250359906207;1.2113621741507261e-05;36.578
1989;Turkey;0.14932150581452786;0.012033995537216624;0.010478024230798112;52.216
1989;United Kingdom;0.36848533243957005;0.24934977155217042;0.00012894522084479985;99.82
1989;Russian Federation;0.08806013956441316;0.02541930424262473;0.05306385319494244;422.8
1989;Uzbekistan;0.15999029822839406;0.022036181161565693;0.0005850267502070153;6.200000000000001
1989;South Africa;0.0434509168517383;0.007471407394631702;0.02869273947487627;176.28
1989;Japan;0.12363858493504876;0.061402152128787635;8.255775824320797e-05;10.19
1989;Mongolia;0.24775084449817752;0.00206923151097671;0.003954375575690253;8.045
1989;New Zealand;0.02014585239989719;0.05329918501445485;0.000350880265601473;2.713016
1990;Canada;0.03497038056334589;0.03601899549012544;0.0057191557897551745;68.33200000000001
1990;Brazil;0.17023494297908837;0.008578213816110125;0.0010081709024133358;4.116666
1990;Other S. & Cent. America;0.6116409748058773;0.1538890511163924;2.078968030892012e-05;3.1154335268817204
1990;Germany;0.17639856126119247;0.039512168236050194;0.015417336761918336;427.43300000000005
1990;Serbia;0.07948120091690969;0.011164046136950989;0.004459716214643665;0.0
1990;Uzbekistan;0.15999029822839406;0.022036181161565693;0.0005850267502070153;6.499999999999999
1990;Zimbabwe;0.20035738172266493;0.023729341127490144;0.0003963497610064888;5.499999999999999
1990;China;0.060418390703862235;0.009213240799223366;0.50485659904504;1079.883
1990;India;0.07130963858723316;0.037068965826993816;0.09926513454068905;223.3400000000001
1990;South Korea;0.11632946617016415;0.0807410599343773;0.00010987911438256083;17.216999999999995
1990;Thailand;0.07622026137876214;0.03971184766106084;0.00174014904940639;12.438472999999998
1990;Other Asia Pacific;0.06921512985474632;0.04004659187085946;0.007014259931471302;48.32191235155092
1991;Other S. & Cent. America;0.6116409748058773;0.1538890511163924;2.078968030892012e-05;3.103494494623656
1991;Bulgaria;0.2681000757605534;0.026079081685833394;0.0034883783048158933;31.041447904273948
1991;Kazakhstan;0.023045193099687333;0.0006507673971308803;0.014156284266664312;130.382
1991;South Africa;0.0434509168517383;0.007471407394631702;0.02869273947487627;178.39
1991;Australia;0.02116683601316338;0.012366836805291825;0.0585606985827059;221.1215
1991;South Korea;0.11632946617016415;0.0807410599343773;0.00010987911438256083;15.058000000000005
1992;Other S. & Cent. America;0.6116409748058773;0.1538890511163924;2.078968030892012e-05;2.4124367956989246
1992;Czech Republic;0.001548048060778573;0.059356025660057155;0.0038540575854745032;86.565
1992;Ukraine;0.022555655053976054;0.08884036755734281;0.0030495710010741105;126.375
1992;Russian Federation;0.08806013956441316;0.02541930424262473;0.05306385319494244;349.00417647058816
1992;Uzbekistan;0.15999029822839406;0.022036181161565693;0.0005850267502070153;4.68
1992;Australia;0.02116683601316338;0.012366836805291825;0.0585606985827059;231.8315
1992;South Korea;0.11632946617016415;0.0807410599343773;0.00010987911438256083;11.969000000000001
1993;Canada;0.03497038056334589;0.03601899549012544;0.0057191557897551745;69.0294
1993;US;0.08256960177475148;0.06193897925578562;0.06416650285838102;857.674447267624
1993;Colombia;0.14233017319863284;0.035784157778402936;0.007292645008018513;21.713
1993;Serbia;0.07948120091690969;0.011164046136950989;0.004459716214643665;0.0
1993;Ukraine;0.022555655053976054;0.08884036755734281;0.0030495710010741105;108.71700000000001
1993;Other Europe;0.08143485051837951;0.04231395217761902;0.005592722588804486;106.25962001729148
1993;USSR;;;0.0;0.0
1993;Australia;0.02116683601316338;0.012366836805291825;0.0585606985827059;230.8485
1993;Japan;0.12363858493504876;0.061402152128787635;8.255775824320797e-05;7.2200000000000015
1993;Mongolia;0.24775084449817752;0.00206923151097671;0.003954375575690253;5.616999999999999
1993;Thailand;0.07622026137876214;0.03971184766106084;0.00174014904940639;15.557927
1993;of which: OECD;0.06380991183012563;0.03714854139014789;0.18384267350441383;2038.544224952288
1994;Germany;0.17639856126119247;0.039512168236050194;0.015417336761918336;259.664
1994;Russian Federation;0.08806013956441316;0.02541930424262473;0.05306385319494244;278.3041764705883
1994;USSR;;;0.0;0.0
1994;Uzbekistan;0.15999029822839406;0.022036181161565693;0.0005850267502070153;3.8450000000000006
1994;Other CIS;0.0985833829096252;0.06155879571526457;0.0008385855865926758;4.436
1994;Zimbabwe;0.20035738172266493;0.023729341127490144;0.0003963497610064888;5.47
1994;Other Africa;0.28291411330910066;0.2188690523477641;0.001923898592540518;2.2754730000000003
1994;China;0.060418390703862235;0.009213240799223366;0.50485659904504;1239.901
1994;Pakistan;0.13944965230648898;0.08845664381861251;0.0009216141308791182;3.02
1994;Vietnam;0.008293739303020575;0.002616751850863519;0.0058543246174405286;6.04
1994;of which: OECD;0.06380991183012563;0.03714854139014789;0.18384267350441383;2088.3558200561656
1995;US;0.08256960177475148;0.06193897925578562;0.06416650285838102;937.0982082977997
1995;Serbia;0.07948120091690969;0.011164046136950989;0.004459716214643665;0.0
1995;USSR;;;0.0;0.0
1995;Zimbabwe;0.20035738172266493;0.023729341127490144;0.0003963497610064888;5.54
1995;Australia;0.02116683601316338;0.012366836805291825;0.0585606985827059;248.1345
1995;Other Asia Pacific;0.06921512985474632;0.04004659187085946;0.007014259931471302;33.28704485479049
1996;Mexico;0.036751038659836865;0.09237433050601762;0.0009105802231721182;9.690486262888689
1996;Colombia;0.14233017319863284;0.035784157778402936;0.007292645008018513;29.564
1996;Germany;0.17639856126119247;0.039512168236050194;0.015417336761918336;235.759
1996;Greece;0.12439241484026642;0.20775296576839075;0.0006992484502302842;59.781000000000006
1996;Hungary;0.18347694158636674;0.06294396198179919;0.0006102743817677052;15.471000000000005
1996;Russian Federation;0.08806013956441316;0.02541930424262473;0.05306385319494244;262.3534410286728
1996;Other Africa;0.28291411330910066;0.2188690523477641;0.001923898592540518;2.103022
1996;Indonesia;0.09214398182849903;0.05683054477326621;0.07512773448641624;50.35
1996;European Union #;0.09720623180788435;0.05046664580128413;0.0416403865520049;740.4787468113657
1997;Czech Republic;0.001548048060778573;0.059356025660057155;0.0038540575854745032;73.515
1997;Germany;0.17639856126119247;0.039512168236050194;0.015417336761918336;223.562
1997;Turkey;0.14932150581452786;0.012033995537216624;0.010478024230798112;59.92941562
1997;Indonesia;0.09214398182849903;0.05683054477326621;0.07512773448641624;54.82
1997;Other Asia Pacific;0.06921512985474632;0.04004659187085946;0.007014259931471302;29.01149572222323
1998;Czech Republic;0.001548048060778573;0.059356025660057155;0.0038540575854745032;67.529
1998;Hungary;0.18347694158636674;0.06294396198179919;0.0006102743817677052;15.068
