year,month,month_name,total_accidents,mean_daily_accidents,mean_fatal_share,mean_serious_or_fatal_share,mean_rain_mm,mean_max_temp_c,mean_cloud_cover_pct,mean_wind_speed_kmh,mean_weather_locations,month_start
2009,1,Jan,13417,432.80645161290323,0.014883763594992924,0.14681004266266193,2.569544026165587,5.6257294940037195,52.99749887770153,19.370166100173154,503.0,2009-01-01
2009,2,Feb,10950,391.07142857142856,0.014525994014609975,0.1447480759088006,1.6321286566316389,6.4975859130928715,65.30467196819085,15.726569156489633,503.0,2009-02-01
2009,3,Mar,13202,425.8709677419355,0.012793280734692514,0.14701468460325007,1.408022830757391,9.9488231898929,52.609953184121075,17.65061245430642,503.0,2009-03-01
2009,4,Apr,12715,423.8333333333333,0.014253385351321103,0.16209271538132208,1.967846255798542,13.442478462557984,44.10854870775348,13.447514910536778,503.0,2009-04-01
2009,5,May,13811,445.51612903225805,0.01273906013864325,0.15733810267118015,2.1991470531648813,15.275123452831398,49.254537292374785,16.56736997370615,503.0,2009-05-01
2009,6,Jun,13936,464.53333333333336,0.012304211054496398,0.15802503173388935,2.324075546719682,18.1532140490391,47.04890656063618,11.108482438701126,503.0,2009-06-01
2009,7,Jul,14300,461.2903225806452,0.012385019677136433,0.1462163240421892,4.135682678124799,18.5765407554672,56.2328608991214,14.997755403065478,503.0,2009-07-01
2009,8,Aug,13415,432.741935483871,0.014871506210980387,0.1552571784079492,2.2955685243378436,19.40088501250561,53.663695247867636,14.634258962354902,503.0,2009-08-01
2009,9,Sep,13792,459.73333333333335,0.012732545880863253,0.16107015253623566,1.165453943008615,17.405367793240554,48.204705102717035,14.73823724320742,503.0,2009-09-01
2009,10,Oct,14834,478.51612903225805,0.011574421774450575,0.14809942736671478,1.9291832848276445,14.124401949796358,56.28649734974689,15.271215258372957,503.64516129032256,2009-10-01
2009,11,Nov,15473,515.7666666666667,0.01108107842644132,0.13454831409534676,5.010434824912957,10.580509666866526,67.44405485078944,22.77267716452607,503.4,2009-11-01
2009,12,Dec,13709,442.2258064516129,0.011307388777942053,0.12775433395465507,2.429506829987815,5.7789392676200855,58.972615917398834,17.866542679407427,503.0,2009-12-01
2010,1,Jan,10637,343.1290322580645,0.011675398107164442,0.1257605978106358,1.982883345090746,3.739306098890528,63.68004873981915,17.14634772013083,503.0,2010-01-01
2010,2,Feb,11724,418.7142857142857,0.010984465083212531,0.13442173716315206,2.382071854586765,5.12588753195115,66.8443623970463,15.725220107923885,503.0,2010-02-01
2010,3,Mar,13165,424.6774193548387,0.010939730300466898,0.1419639557829228,2.0582504970178923,8.64798306932598,56.1159494645033,16.33431668056179,503.0,2010-03-01
2010,4,Apr,12248,408.26666666666665,0.01069637043746104,0.15286124182771668,1.1893638170974155,12.381113320079523,44.8324055666004,13.347581179589131,503.0,2010-04-01
2010,5,May,13220,426.4516129032258,0.012391634935683552,0.15773767204960007,1.402436990957481,13.9676136728019,51.89360610530366,11.720259090617585,503.0,2010-05-01
2010,6,Jun,13644,454.8,0.011679712148006293,0.1523461533969627,1.524208084824387,18.883035122597747,42.69754804506295,10.919416832339298,503.0,2010-06-01
2010,7,Jul,13527,436.35483870967744,0.010038138068656862,0.15227611485776477,2.486493939588277,19.654267940742642,59.059834541140255,13.839607516193164,503.0,2010-07-01
2010,8,Aug,13027,420.2258064516129,0.014599155609015079,0.1540171271102761,3.1243570833066117,18.264285256204708,55.74065285705124,13.527352016930674,503.0,2010-08-01
